dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
"['World War I', 'Medical', 'Recruitment and Conscription']","['http://data.europeana.eu/place/42965', 'http://data.europeana.eu/place/85', 'Ardennes', 'Western Front']","['21st century', '20th century']",['World War I'],"['1917', '1918']",TEXT,"['FRAD083_012_Louis Javel', 'Louis Javel, french soldier']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/2ab0dc9307435c8f392afede53f04a69', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRBNBU-022 Gaston-René Gorret mort pour la France dès septembre 1914', 'Documents about Gaston Gorret died in 1914']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance', 'Trench Life']","['europeana19141918:place/bcda66f17c414c2ae78d7cbcab469b60', 'Balkans', 'Eastern Front', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Bulgarische, ungarische und deutsche Kriegserinnerungsmedaillen, bulgarische Verleihungsurkunde und EKII von Oskar Stäbel', 'Bulgarian decoration with certificate and other decorations of Oskar Stäbel']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/adbb430aa026bbe53ddca0b269befab7', 'Western Front']",['21st century'],['World War I'],,TEXT,"['FRBNBU-046 Gabriel Lizart, protégé par la Sainte Vierge', 'Documents about Gabriel Lizart']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['europeana19141918:place/ed0872dde6b0de2e73c01a328354d30e', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD058_021 M;Louis TOLLET, M. Etienne NOLOT', 'Documents from Mr Guy François Nolot']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Women']","['europeana19141918:place/e92228c8349dcbd21cf014ed93adfda2', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRBNBU-119 Eugène Lucien Lebert cavalier au 15ème régiment de Chasseurs', 'Eugène Lucien Lebert was in the cavalery']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/50606ac15caaaf787b631bfe8752363d', 'Western Front']",['21st century'],['World War I'],,TEXT,"[""FRBNBU-113 Lucien Simonel blessé mais conservateur d'objets"", 'Objects in remembrance of Lucien Simonel']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War', 'Trench Life']","['europeana19141918:place/2f472e8ef13a6788a78317cc2c9b0e3e', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"[""FRBNBU-133 Histoire d'Henri Masselis, grand-père maternel de Jean-Luc Reboulet"", ""Henri Masselis's History""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],,TEXT,"['FRAM - Marcel Epardaud', 'Medals from Marcel Epardaud']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical', 'Transport']","['europeana19141918:place/2c3193ce18ec7863aee7615d99409d61', 'Western Front']","['21st century', '20th century']","['World War I', 'Transport']",,TEXT,"['FRBNBU-108 Un suédois au service de la France', 'Knut William Mattson a physiotherapist in France service']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
