dcSubjectLangAware.en,dctermsSpatial,edmTimespanLabelLangAware.en,edmConceptPrefLabelLangAware.en,year,type,title,provider,dataProvider,country,completeness
"['World War I', 'Trench Life']",['Western Front'],['21st century'],['World War I'],,TEXT,"['Jules Ranvin', 'la coupole']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['France', 'Western Front']","['21st century', '20th century']",['World War I'],['1917'],TEXT,"['Paddy Murphy and friends at the front', 'Stories about friends saving his life and escaping POW']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front']","['North Sea', 'Naval Warfare']","['21st century', '20th century']",['World War I'],['1917'],TEXT,"['Captain Albert Hawkins Perrin (SS Copsewood)', 'Saved Norvegian crew on Christmas Day']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery']","['France', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['James Gallagher and his medals', 'Fought in France']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery']","['Marne, outside Paris', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Service of William Price, Frederick Price and James Price (Will, Fred & Jim)', 'Three Irish brothers']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['France', 'Italian Front', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Denis T. Hayes, Honourable Artillery Company who served in Belgium, France and Italy', 'Worked as an interpreter']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']","['Limburg, Germany', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Thomas McDonald, Regiment no. 9197', 'POW in Limberg']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD071-102 Georges LAZARD, d’une guerre à l’autre', 'Document from Georges Lazard.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],['21st century'],['World War I'],,TEXT,"['FRAD071-103 Albert MONIOT, Charles PAILLARD, Ernest RICHARD : des grands-pères dans la guerre', 'Documents from Albert MONIOT, Charles PAILLARD and Ernest RICHARD.']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']","['Prenesque near Lille, France', 'Western Front']","['19th century', '21st century', '20th century']",['World War I'],['1899'],TEXT,"[""My grandfather, George O'Leary, killed in action in France, October 1914"", 'Rejoined his old regiment']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Transport']","['English Channel', 'Naval Warfare']","['21st century', '20th century']","['World War I', 'Transport']","['1914', '1915']",TEXT,"[""Joseph Wyse's Medals and Postcards from the Merchant Navy"", ""Torpedoed in St George's Channel""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Western Front', 'Western Front']","['19th century', '21st century', '20th century']",['World War I'],"['1918', '1871']",TEXT,"['Dublin soldier served from Boer War to Great War', 'Medals and shaving kit']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Gas Warfare']","['France', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1916']",TEXT,"['Thomas Cranny in France', 'Gassed but survived']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['Gallipoli', 'Gallipoli Front']","['19th century', '21st century']",['World War I'],,TEXT,"['William Berrill , career soldier', 'Completed his active service in Galipolli']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Ypres, Western Front, and Mesopotamia', 'Middle East', 'Western Front']","['21st century', '20th century']",['World War I'],"['1923', '1914']",TEXT,"['Captain John Mitchell, Squash Champion of Egypt', 'A keen sportsman']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['http://data.europeana.eu/place/177848', 'http://data.europeana.eu/place/86', 'Coll Island', 'Naval Warfare']","['21st century', '20th century']",['World War I'],,TEXT,"['Michael Hogan', ""Stoker on the minesweeper 'Jason'""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['Italian Front', 'Western Front']","['19th century', '21st century', '20th century']",['World War I'],"['1891', '1965']",TEXT,"['Aubrey Bunyan and the Royal West Kent Regiment', 'Born in Bexley']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Remembrance']","['europeana19141918:place/71403218cb5c6808054b3dbfa17420cf', 'Western Front']","['21st century', '20th century']",['World War I'],"['1920', '1914']",TEXT,"['Sergeant Alfred Dunne', 'A professional soldier']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/a07b7937ba2e03dc123a95c3f40005ba', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Maurice Blootacker: oud-strijder van het 10e linieregiment', 'The story of Maurice Blootacker, soldier of the Belgian army']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Remembrance']",['Western Front'],"['19th century', '21st century', '20th century']",['World War I'],,TEXT,"['Tevergeefs wachten op soldaat Joseph Vander Putten', 'Four years without news: soldier Joseph Vanderputten']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/a07b7937ba2e03dc123a95c3f40005ba', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Soldaat Remi Cyriel Bartier aan het Belgische front', 'Soldier Remi Cyriel Bartier on the Belgian front']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']","['IJzerfront', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Soldaat Jan Mathieu Bergmans aan het Belgische front', 'Soldier Jan Mathieu Bergmans on the Belgian front']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Somme; Gallipoli; Passchendale; Ypres; Dublin', 'Western Front']","['21st century', '20th century']",['World War I'],['1914'],TEXT,"[""My father's story"", 'Captain Graham, Military Doctor commended for bravery']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Yorkshire, Italy', 'Italian Front']","['21st century', '20th century']",['World War I'],"['1915', '1918']",TEXT,"[""My Grandfathers' War"", 'One survived']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",['Western Front'],"['19th century', '21st century', '20th century']",['World War I'],,TEXT,"[""Oorlogsdagboek en foto's van oudstrijder Isidore Vanderlinden"", 'War diary and pictures of war veteran Isidore Vanderlinden']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Trench Life']","['Balkans', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['Georges Duriez', 'la couople']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Prisoners of War', 'Trench Life']","['europeana19141918:place/52f015ed87d9533cb06d3f7a66d77278', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Feldpost Alwin Metz Januar bis Mai 1918: Zwei Kriegsgefangene verschiedener Nationen schreiben sich', 'Fieldpost of Alwin Metz from January-May 1918: 2 POW of different nationalities correspond each other']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']","['europeana19141918:place/52f015ed87d9533cb06d3f7a66d77278', 'Eastern Front']","['21st century', '20th century']",['World War I'],"['1920', '1915']",TEXT,"['Alwin Metz Notizheft aus russischer Kriegsgefangenschaft', 'POW notebook of Alwin Metz']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']","['europeana19141918:place/c486d0d4a5077553ed4fe026c1584ff8', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Ausweiskarte von Alwin Metz für freien Ausgang im Ort des Gefangenenlagers Zairkutny', 'Permission card of Alwin Metz to go in pass in site of POW-Camp at Zairkutny']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War', 'Transport']","['europeana19141918:place/9ab136344d446e659792e2c2f33f2519', 'Eastern Front']","['21st century', '20th century']","['World War I', 'Transport']",,TEXT,"['Passierschein von Alwin Metz von Moskau über Narva nach Deutschland', 'Pass of Alwin Metz from Moscow via Narva to Germany']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']","['europeana19141918:place/5c8a2e9f26a7a440e5d60f1a399b511a', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Dokumente von Alwin Metz aus der Zeit nach der Kriegsgefangenschaft', 'Documents of Alwin Metz from time after war imprisonment']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Oorlogsdocumenten van soldaat Richard Laebens', 'War documents of soldier Richard Laebens']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Prisoners of War', 'Recruitment and Conscription', 'Remembrance']","['Balkans', 'Italian Front', 'Eastern Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Ratni put topnika Tome Gažija iz sela Hlebine pored Koprivnice', 'War-time of a gunner Tomo Gaži from Hlebine, the village near Koprivnica']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",['Eastern Front'],"['21st century', '20th century']",['World War I'],"['1915', '1918']",TEXT,"['VATROSLAV KOZMAR', 'Vatroslav Kozmar']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front']","['europeana19141918:place/261e1078f872820771e7c27600a21217', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['M. S. Regele decorand (august 1917)', 'His Majesty The King of Romania awarding medals']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRBMSC-26 Histoire de Jean Emilien Vezy', 'Story of Jean Emilien Vezy']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Recruitment and Conscription']","['Ypres', 'Western Front']","['21st century', '20th century']",['World War I'],['1905'],TEXT,"['Joseph Kearns, member of the Connaught Rangers 1st Battalion', 'Wounded in 1st and 2nd battles of Ypres']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['Battle of Somme, France, Canada', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"[""A British soldier's convalescence in Canada"", 'Hit by a shrapnel']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Propaganda', 'Recruitment and Conscription', 'Trench Life', 'Central Powers']","['europeana19141918:place/1cfadb348d36c8764edf71d3217acfb1', 'Western Front']","['21st century', '20th century']","['World War I', 'Propaganda']","['1907', '1918']",TEXT,"['Matthias Reinwald - Orden und Bild', 'Matthias Reinwald - Medal and Picture']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Trench Life', 'Central Powers']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1907', '1918']",TEXT,"['Matthias Reinwald - Soldbuch', 'Matthias Reinwald - military paybook']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']","['Somme, Ypres, Passchendaele', 'Western Front']",['21st century'],['World War I'],,TEXT,"[""Kitchener's Army recruit at The Somme and Ypres"", 'John Drawhill Highland Light Infantry 11th Battalion']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['France and Belgium', 'Western Front']","['19th century', '21st century', '20th century']",['World War I'],"['1892', '1958']",TEXT,"['Ambulance driver comes across dead brother-in-law', 'The life and times of Harry Sealey']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']","['Gallipoli Front', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['The brothers who went to war', 'My brave great-uncles: Albert, Edgar, Frederick & Sidney']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Refugees']",,['21st century'],['World War I'],,TEXT,"['Pierre Matheus', 'Pierre Matheus']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['France', 'Western Front']",['21st century'],['World War I'],,TEXT,"['Brothers in Arms: From the farm to France', 'WW1 claims both their lives']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance', 'Trench Life']","['europeana19141918:place/5a0d86c9befea9f32a25e300a5b9d965', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Orden von Wilhelm-August Baumann', 'Decorations of Wilhelm-August Baumann']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/1785f7f3e949dd5f64e5f174139549b6', 'Eastern Front']","['21st century', '20th century']",['World War I'],,TEXT,"['Kyffhäuser-Denkmünze für 1914/18 von Oskar Haupt', 'Commemorative medal Kyffhäuserbund from Oskar Haupt']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/afec7f0da7b7e9a4b5dfac2068419234', 'Western Front']","['21st century', '20th century']",['World War I'],"['1917', '1934']",TEXT,"['Orden von Max Friedrich Benedict', 'Decorations of Max Friedrich Benedict']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance', 'Transport']","['europeana19141918:place/7350544f0cb4b8b4b0973bcc58d481eb', 'Gallipoli Front', 'Aerial Warfare', 'Western Front']","['21st century', '20th century']","['World War I', 'Transport']","['1914', '1918']",TEXT,"['Odznaczenia wojskowe i medal pamiątkowy kaprala Paula Nowarka', ""Corporal Paula Nowarka's war decorations and awards""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/787b0bd53ef6cbeab72116a05559c2bf', 'Balkans']","['21st century', '20th century']",['World War I'],,TEXT,"['MEDAL FOR A SOLDIER OF SELINO', 'MEDAL FOR A SOLDIER FROM SELINO']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Medical', 'Remembrance']","['europeana19141918:place/3502a3ace6fcd9a41bd0b149e03dc56c', 'Balkans']","['19th century', '21st century', '20th century']",['World War I'],"['1882', '1918']",TEXT,"['Serbische Medaille der Artillerie ""Dobrom nišandžiji""', 'Serbian artillery medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Grachten sur la commune de Nordshoose (Belgique)', 'Western Front']","['21st century', '20th century']",['World War I'],['1914'],TEXT,"['FRAD037_GC071_DUCOURET_Georges', 'DUCOURET Georges']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']","['europeana19141918:place/e3d527aa868715372f69fd98ddd428d7', 'Balkans']","['21st century', '20th century']",['World War I'],,TEXT,"['1914. ГОДИНА У ХЕРЦЕГОВИНИ', '1914 in Herzegovina']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Cairo, Egypt', 'Aerial Warfare', 'Middle East']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['From the British Expeditionary Force to the Royal Flying Corps', 'Charles Beeks, soldier and pilot']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/9b7a5944bf81e4958b64f87c9a02e35b', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1915']",TEXT,"['FRAD063-175 Jean NIVELON', 'Documents about Jean NIVELON']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Conscientious Objection', 'Home Front', 'Recruitment and Conscription', 'Remembrance', 'Trench Life']","['europeana19141918:place/581200d2f02524665c867ea1b5aec337', 'Balkans', 'Eastern Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Три цртице из ратовања Петра Радана', 'Three short stories about Petar Radan']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical']","['europeana19141918:place/8636a80df1135412d94848ea80e72f32', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"[""Geneesheer Jules Van Meenen foto's, militaire kaart en brief"", ""Geneesheer Jules Van Meenen foto's, militaire kaart en brief""]",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/7b3b217d68691b3c4afd7561151f5acb', 'Western Front']","['21st century', '20th century']",['World War I'],"['1913', '1919']",TEXT,"['FRAD063-010 Léger DEBOST', 'Documents about Léger DEBOST']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD063-187 Louis Pierre SAUTERAUD', 'Documents about Louis Pierre SAUTERAUD']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/1ee10434b1d972ee6a66107107dec065', 'Western Front']","['21st century', '20th century']",['World War I'],,TEXT,"['FRAD063-019 Blaise ROCHIAS', 'Documents about Blaise ROCHIAS']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/72691e1bc0473699959afd55f1f60ce7', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD063-023 François Marius CROCOMBETTE', 'Documents about François Marius CROCOMBETTE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],"['1916', '1919']",TEXT,"['FRAD063-209 Théodore MOUJITCHENKO', 'Documents about Théodore MOUJITCHENKO']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']","['europeana19141918:place/9a8b4791309378d7f4695356e871f27e', 'Western Front']","['21st century', '20th century']",['World War I'],['1928'],TEXT,"['FRAD063-031 Louis DOUHAIRIE', 'Documents about Louis DOUHAIRIE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery', 'Central Powers']","['europeana19141918:place/a1fdafb7fb04e95d2c1ab89a80b7b0ab', 'Balkans']","['21st century', '20th century']",['World War I'],,TEXT,"['Verdienstzeichen in Silber mit der Krone (Orden Österreich)', 'Certificate of awarding a medal to an Austrian artillery man - Arthur Ceraj, who was granted sick-leave 1918 - further submissions']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],['1934'],TEXT,"['FRAD063-033 Félix LHERITIER', 'Documents about Félix LHERITIER']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['Balkans', 'Western Front']","['21st century', '20th century']",['World War I'],"['1913', '1919']",TEXT,"['FRAD063-228 Jean CHANDEZE', 'Documents about Jean CHANDEZE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Recruitment and Conscription']","['europeana19141918:place/a2079a2b6d69ec58339757a3c81b9ba4', 'Naval Warfare']","['21st century', '20th century']",['World War I'],['1915'],TEXT,"['Odlikovanje za hrabrost', 'Medal of Honour']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription', 'Remembrance']","['europeana19141918:place/663909e708825757da4c9f17ace553ab', 'Balkans']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Сећања на нашег деду солунца', 'Memories of Ilija Tasic']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Medical', 'Recruitment and Conscription', 'Remembrance', 'Women']","['Херцеговина-Црна Гора-Албанија-Солунски фронт', 'Balkans']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Обрен Јакшић - носилац Албанске споменице', 'Obren Jaksic - wearer of the Albanian Commemorative Medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Recruitment and Conscription']","['europeana19141918:place/1708a59e850343c9a5678d2942dc55db', 'Italian Front']","['21st century', '20th century']",['World War I'],['1915'],TEXT,"['Vjekoslav Jurinović kao austrijski vojnik', 'Vjekoslav Jurinović as an Austrian soldier']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance', 'Central Powers']","['europeana19141918:place/5e755d6baa0d20f4b2f90c9b12732a6b', 'Western Front']",['21st century'],['World War I'],,TEXT,"['Ordenspange und Foto von Lorenz Rusch (1890-1981)', 'Decorations and photo of Lorenz Rusch']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']",['Eastern Front'],['21st century'],['World War I'],,TEXT,"['Obitelj Kukica', 'Family Kukica']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/7bccc155378888c892931cfd6b4f6605', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD063-152 Blaise Félix Alphonse LACHAMPT', 'Documents about Blaise Félix Alphonse LACHAMPT']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Recruitment and Conscription', 'Remembrance']","['europeana19141918:place/bf96d7fff933c07d917451e369c8fce0', 'Balkans']","['21st century', '20th century']",['World War I'],"['1912', '1913']",TEXT,"['Први балкански рат и ослобађање јужних крајева Србије', 'Serbian war medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Home Front', 'Medical', 'Recruitment and Conscription', 'Remembrance']",['Balkans'],"['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Учешће у Великом рату', 'Serbian war medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/1803e9abfd069e3ae4ac7c419e7a44d3', 'Western Front']","['21st century', '20th century']",['World War I'],"['1910', '1918']",TEXT,"['FRAD063-042 Antoine Louis PRADON', 'Documents about Antoine Louis PRADON']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/d0108b778b6495289e329ce69ad35f51', 'Western Front']","['21st century', '20th century']",['World War I'],"['1915', '1919']",TEXT,"['FRAD063-061 Antonin SAUNIER', 'Documents about Antonin SAUNIER']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/5301b10324eac3bf38c54582c9961eea', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1917']",TEXT,"['FRAD063-064 Denis Annet DESGOUTTES', 'Documents about Denis Annet DESGOUTTES']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Artillery']",['Western Front'],"['21st century', '20th century']",['World War I'],"['1940', '1916']",TEXT,"['FRAD063-066 Jean Baptiste RAYNAUD', 'Documents about Jean Baptiste RAYNAUD']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Prisoners of War']",['Western Front'],"['19th century', '21st century', '20th century']",['World War I'],"['1900', '1919']",TEXT,"['FRAD063-070 DELEAUX Louis Marcellin', 'Documents about Louis Marcellin DELEAUX']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],['Western Front'],"['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD063-074 Jacques Hyppolite NAIRABEZE', 'Documents about Jacques Hyppolite NAIRABEZE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/9fb5d8feb3b8168c229f1d6a40b20cf9', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1915']",TEXT,"['FRAD063-088 Adrien CHAZEAU', 'Documents about Adrien CHAZEAU']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Gas Warfare', 'Medical']","['europeana19141918:place/ed16b6469e5c0859845e370b36e1e424', 'Western Front']","['21st century', '20th century']",['World War I'],"['1943', '1913']",TEXT,"['FRAD063-099 Jean Etienne CHAIZE', 'Documents about Jean Etienne CHAIZE']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/60ddb9a2068ed7b929a61e55c92c458b', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1917']",TEXT,"['FRAD063-009 Jean GAYTE et Claude MINARD', 'Documents about Jean GAYTE and Claude MINARD']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/1c93fe801bc4d4c76114bea370c14e2f', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1919']",TEXT,"['FRAD063-113 Clément REILLER', 'Documents about Clément REILLER']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/bc486e4ef7b9ca87401f0dda45482ed1', 'Western Front']","['21st century', '20th century']",['World War I'],"['1920', '1914']",TEXT,"['FRAD063-133 Jean DEBIN', 'Documents about Jean DEBIN']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
['World War I'],"['europeana19141918:place/58cbbab4cdb7597bf5cd89daf652a64f', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['FRAD063-139 François dit Louis MONNERON', 'Documents about François Louis MONNERON']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical', 'Prisoners of War']","['europeana19141918:place/637966325290be97390ba5dcbfe81b3c', 'Western Front']","['21st century', '20th century']",['World War I'],"['1913', '1918']",TEXT,"['FRAD063-147 Jean GIRODON', 'Documents about Jean GIRODON']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Manufacture', 'Remembrance']","['europeana19141918:place/320f6314be418e46641d9b373deb5c41', 'Western Front']","['21st century', '20th century']",['World War I'],"['1920', '1918']",TEXT,"['Belgische victorie medaille', 'Belgian medal']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Medical', 'Remembrance', 'Trench Life']","['europeana19141918:place/ae3fbd154dfca31401b53a98dded2a1c', 'Eastern Front', 'Western Front']","['21st century', '20th century']",['World War I'],"['1914', '1918']",TEXT,"['Odznaczenia Alojzy Kozioł', 'Military awards of Alojzy Kozioł']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
"['World War I', 'Remembrance']","['europeana19141918:place/33b58a1ea398f9e470049f6272183519', 'Naval Warfare']","['21st century', '20th century']",['World War I'],['1915'],TEXT,"['Grootvader Cornelis de Graaf redde de bemanning van schip', 'Grandfather Cornelis de Graaf saved the crew of a ship']",['Europeana 1914-1918'],['Europeana 1914-1918'],['Europe'],10
